arr_num,population,superficie_km2,nb_bornes,conso_mwh,nb_ve,pression_actuelle,conso_actuelle_mwh,puiss_pic_actuelle_kw,conso_elec_mwh_par_hab,densite_pop,scenario,horizon_years,growth_rate,ve_projete,bornes_cible,deficit_bornes,energie_add_mwh,puiss_add_kw,ratio_ve_resid_pct,energie_totale_mwh,ratio_total_resid_pct,pression_projetee
1,17915,1.83,20,31632.0,185,9.25,547.5,130.0,1.8,9790.0,bas,1,0.2,222,34,14,383.2,91.0,1.211,930.8,2.943,11.1
2,22390,0.99,15,38520.0,232,15.47,410.625,97.5,1.7,22616.0,bas,1,0.2,278,42,27,739.1,175.5,1.919,1149.8,2.985,18.53
3,34115,1.17,18,57903.0,353,19.61,492.75,117.0,1.7,29158.0,bas,1,0.2,424,64,46,1259.2,299.0,2.175,1752.0,3.026,23.56
4,28088,1.6,22,48824.0,291,13.23,602.25,143.0,1.7,17555.0,bas,1,0.2,349,53,31,848.6,201.5,1.738,1450.9,2.972,15.86
5,60179,2.54,70,103302.0,623,8.9,1916.25,455.0,1.7,23693.0,bas,1,0.2,748,112,42,1149.8,273.0,1.113,3066.0,2.968,10.69
6,44762,2.15,69,77292.0,463,6.71,1888.875,448.5,1.7,20820.0,bas,1,0.2,556,83,14,383.2,91.0,0.496,2272.1,2.94,8.06
7,57191,4.09,112,100134.0,592,5.29,3066.0,728.0,1.8,13983.0,bas,1,0.2,710,106,0,0.0,0.0,0.0,2901.8,2.898,6.34
8,38749,3.88,124,68391.0,401,3.23,3394.5,806.0,1.8,9987.0,bas,1,0.2,481,72,0,0.0,0.0,0.0,1971.0,2.882,3.88
9,59474,2.18,58,101338.0,616,10.62,1587.75,377.0,1.7,27282.0,bas,1,0.2,739,111,53,1450.9,344.5,1.432,3038.6,2.998,12.74
10,93373,2.89,53,157443.0,966,18.23,1450.875,344.5,1.7,32309.0,bas,1,0.2,1159,173,120,3285.0,780.0,2.086,4735.9,3.008,21.87
11,154023,3.67,86,254458.0,1594,18.53,2354.25,559.0,1.7,41968.0,bas,1,0.2,1913,286,200,5475.0,1300.0,2.152,7829.2,3.077,22.24
12,143035,16.32,120,253069.0,1480,12.33,3285.0,780.0,1.8,8764.0,bas,1,0.2,1776,265,145,3969.4,942.5,1.569,7254.4,2.867,14.8
13,183067,7.15,117,313015.0,1895,16.2,3202.875,760.5,1.7,25604.0,bas,1,0.2,2274,339,222,6077.2,1443.0,1.942,9280.1,2.965,19.44
14,136591,5.62,79,234175.0,1414,17.9,2162.625,513.5,1.7,24304.0,bas,1,0.2,1697,253,174,4763.2,1131.0,2.034,6925.9,2.958,21.48
15,238190,8.5,212,405233.0,2465,11.63,5803.5,1378.0,1.7,28022.0,bas,1,0.2,2958,441,229,6268.9,1488.5,1.547,12072.4,2.979,13.95
16,163731,16.31,216,288949.0,1695,7.85,5913.0,1404.0,1.8,10039.0,bas,1,0.2,2034,304,88,2409.0,572.0,0.834,8322.0,2.88,9.42
17,168454,5.67,124,285587.0,1743,14.06,3394.5,806.0,1.7,29710.0,bas,1,0.2,2092,312,188,5146.5,1222.0,1.802,8541.0,2.991,16.87
18,197157,6.01,93,332096.0,2041,21.95,2545.875,604.5,1.7,32805.0,bas,1,0.2,2449,365,272,7446.0,1768.0,2.242,9991.9,3.009,26.33
19,186088,6.79,79,316997.0,1926,24.38,2162.625,513.5,1.7,27406.0,bas,1,0.2,2311,345,266,7281.8,1729.0,2.297,9444.4,2.979,29.25
20,196941,5.98,121,331642.0,2038,16.84,3312.375,786.5,1.7,32933.0,bas,1,0.2,2446,365,244,6679.5,1586.0,2.014,9991.9,3.013,20.21
1,17915,1.83,20,31632.0,185,9.25,547.5,130.0,1.8,9790.0,bas,2,0.2,266,40,20,547.5,130.0,1.731,1095.0,3.462,13.3
2,22390,0.99,15,38520.0,232,15.47,410.625,97.5,1.7,22616.0,bas,2,0.2,334,50,35,958.1,227.5,2.487,1368.8,3.553,22.27
3,34115,1.17,18,57903.0,353,19.61,492.75,117.0,1.7,29158.0,bas,2,0.2,508,76,58,1587.8,377.0,2.742,2080.5,3.593,28.22
4,28088,1.6,22,48824.0,291,13.23,602.25,143.0,1.7,17555.0,bas,2,0.2,419,63,41,1122.4,266.5,2.299,1724.6,3.532,19.05
5,60179,2.54,70,103302.0,623,8.9,1916.25,455.0,1.7,23693.0,bas,2,0.2,897,134,64,1752.0,416.0,1.696,3668.2,3.551,12.81
6,44762,2.15,69,77292.0,463,6.71,1888.875,448.5,1.7,20820.0,bas,2,0.2,667,100,31,848.6,201.5,1.098,2737.5,3.542,9.67
7,57191,4.09,112,100134.0,592,5.29,3066.0,728.0,1.8,13983.0,bas,2,0.2,852,127,15,410.6,97.5,0.41,3476.6,3.472,7.61
8,38749,3.88,124,68391.0,401,3.23,3394.5,806.0,1.8,9987.0,bas,2,0.2,577,86,0,0.0,0.0,0.0,2354.2,3.442,4.65
9,59474,2.18,58,101338.0,616,10.62,1587.75,377.0,1.7,27282.0,bas,2,0.2,887,133,75,2053.1,487.5,2.026,3640.9,3.593,15.29
10,93373,2.89,53,157443.0,966,18.23,1450.875,344.5,1.7,32309.0,bas,2,0.2,1391,208,155,4243.1,1007.5,2.695,5694.0,3.617,26.25
11,154023,3.67,86,254458.0,1594,18.53,2354.25,559.0,1.7,41968.0,bas,2,0.2,2295,343,257,7035.4,1670.5,2.765,9389.6,3.69,26.69
12,143035,16.32,120,253069.0,1480,12.33,3285.0,780.0,1.8,8764.0,bas,2,0.2,2131,318,198,5420.2,1287.0,2.142,8705.2,3.44,17.76
13,183067,7.15,117,313015.0,1895,16.2,3202.875,760.5,1.7,25604.0,bas,2,0.2,2729,407,290,7938.8,1885.0,2.536,11141.6,3.559,23.32
14,136591,5.62,79,234175.0,1414,17.9,2162.625,513.5,1.7,24304.0,bas,2,0.2,2036,304,225,6159.4,1462.5,2.63,8322.0,3.554,25.77
15,238190,8.5,212,405233.0,2465,11.63,5803.5,1378.0,1.7,28022.0,bas,2,0.2,3550,530,318,8705.2,2067.0,2.148,14508.8,3.58,16.75
16,163731,16.31,216,288949.0,1695,7.85,5913.0,1404.0,1.8,10039.0,bas,2,0.2,2441,364,148,4051.5,962.0,1.402,9964.5,3.449,11.3
17,168454,5.67,124,285587.0,1743,14.06,3394.5,806.0,1.7,29710.0,bas,2,0.2,2510,375,251,6871.1,1631.5,2.406,10265.6,3.595,20.24
18,197157,6.01,93,332096.0,2041,21.95,2545.875,604.5,1.7,32805.0,bas,2,0.2,2939,439,346,9471.8,2249.0,2.852,12017.6,3.619,31.6
19,186088,6.79,79,316997.0,1926,24.38,2162.625,513.5,1.7,27406.0,bas,2,0.2,2773,414,335,9170.6,2177.5,2.893,11333.2,3.575,35.1
