scenario,horizon_years,deficit_total,energie_add_gwh,puiss_add_mw,ratio_add_pct,energie_totale_gwh,arrdt_critiques
bas,1,2375,65.0,15.44,1.53015,112.9,18
bas,2,3179,87.0,20.66,2.0787500000000003,135.5,19
bas,3,4147,113.5,26.96,2.7508,162.5,19
bas,4,5313,145.4,34.53,3.56445,194.9,19
bas,5,6734,184.3,43.77,4.5783000000000005,233.8,20
central,1,3042,83.3,19.77,1.98495,131.7,19
central,2,4930,135.0,32.04,3.29695,184.3,19
central,3,7613,208.4,49.48,5.21175,257.9,20
central,4,11376,311.4,73.94,7.9091,360.9,20
central,5,16648,455.7,108.21,11.69315,505.2,20
haut,1,3718,101.8,24.17,2.4585,150.5,19
haut,2,6981,191.1,45.38,4.7607,240.6,20
haut,3,12249,335.3,79.62,8.5349,384.8,20
haut,4,20679,566.1,134.41,14.58125,615.6,20
haut,5,34163,935.2,222.06,24.25145,984.7,20
